experiment,metric,method,value,n,provenance_level,run_id
personalization,controlled_preference_top1,Basic RAG,0.0,5,A+B+C,20260816T065507Z_personal_rag_gold_v1
personalization,controlled_preference_top1,Personal RAG,1.0,5,A+B+C,20260816T065507Z_personal_rag_gold_v1
personalization,promotion_success,Personal RAG,1.0,4,A+B+C,20260816T065507Z_personal_rag_gold_v1
personalization,demotion_success,Personal RAG,1.0,3,A+B+C,20260816T065507Z_personal_rag_gold_v1
personalization,mean_promotion_rank_gain,Personal RAG,1.5,4,A+B+C,20260816T065507Z_personal_rag_gold_v1
personalization,mean_demotion_rank_change,Personal RAG,2.6666666666666665,3,A+B+C,20260816T065507Z_personal_rag_gold_v1
personalization,safety_invariance,Personal RAG,1.0,2,A+B+C,20260816T065507Z_personal_rag_gold_v1
personalization,candidate_set_invariance,Personal RAG,1.0,12,A+B+C,20260816T065507Z_personal_rag_gold_v1
